code,name,message
5099,Invalid Search Date,"Search dates must be formatted as MM/DD/YYYY or MM/DD/YYYY hh:mm:ss AM/PM, the end date must be greater than the start date and the range cannot be greater than 31 days."
5100,Account Closed,This account has been closed by Account Updater.
5101,MICR/Image Data is not allowed for this terminal,MICR read or check image is not allowed for this terminal. Your terminal must be setup for ECS Paper Check.
5102,Keyed Check is not allowed for this terminal,Key entered check is not allowed for this terminal. Your terminal must be setup for ACH ECheck.
5103,Invalid bank account type value,"The value for the check type (ssl_bank_account_type) field should be 1 Numeric Character only. Valid values are: 0 for Personal, 1 for Business."
5104,Invalid agreement indicator value,"The value for the agreement indicator (ssl_agree) field should be 1 Numeric Character only. Valid values are: 1 for Agree, 0 for Do not agree."
5105,Invalid Bank Account Number,The bank account number supplied in the authorization request appears to be invalid. The bank account number must numeric and up to 16 characters long.
5106,Invalid Bank Routing Number,The bank routing number supplied in the authorization request appears to be invalid. The bank routing number must be numeric fixed value of 9 characters.
5107,Invalid Check Number,The Check number supplied in the authorization request appears to be invalid. The check number must be numeric.
5108,Missing check holder information,The check information supplied in the request appears to be missing. You must provide first and last names for a personal check or a company name for a business check.
5121,Invalid Mobile indicator,The mobile indicator appears to be missing or invalid.
5122,Invalid Merchant IP Address,The IP Address appears to be missing or invalid.
5123,Email is not setup for this terminal,Email is not setup for this terminal. You must enable the email options under the email setup form.
5125,"Invalid POS, entry mode and card data combination",POS entry and entry mode combination is invalid for this transaction.
5126,Invalid mobile source,Invalid mobile source.
5130,EMV processing is not allowed for this card type.,You can process this card type swiped or keyed.
5131,Swiped without fallback is not allowed,Chip read must fail before fallback to swipe is allowed. You must attempt to insert card first.
5132,Signature is not allowed for this card,Card verification method for this card does not require a signature
5133,Invalid Card Type.,Transaction not supported with this card type.
5135,Invalid Search Transaction Type,"Transaction type provided in the request is not valid. Valid values are: SALE, VOID, FORCE."
5136,Invalid Search Amount,The amount supplied in the search appears to be invalid. All amounts must be formatted correctly and max amount must be greater than the min amount if supplied.
5137,Invalid Search Card Type,"The card type supplied in the search appears to be invalid. Valid values are: CREDITCARD, DEBITCARD."
5138,Invalid Search Card Brand,"The card brand supplied in the search appears to be invalid. Valid values are: VISA, MC, JCB, DISC, AMEX."
6001,Manual Transaction Declined,Transaction request was unable to be completed.
6002,Declined: Invalid Card,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6003,Declined: Pick up Card,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6004,Declined: Amount Error,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6005,Declined: Appl. Type Error,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6006,Declined,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6007,Declined: Help,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6008,Declined: Req. Exceeds Bal.,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6009,Declined: Expired Card,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6010,Declined: Incorrect PIN,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6011,Declined: Invalid Term ID,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6012,Declined: Invalid Term ID 1,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6013,Declined: Invalid Term ID 2,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6014,Declined: Invalid Void Data,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6015,Declined: Must Settle MMDD,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6016,Declined: Not On File,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6017,Declined: Record Not Found,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6018,Declined: Serv Not Allowed,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6019,Declined: Seq Err Pls Call,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6020,Declined: Call Auth Center,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6021,Declined: Call Ref.,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6022,Declined: CVV2,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6023,Declined: Please RetryXXXX,This transaction request has not been approved. You may elect to use another form of payment to complete this transaction or contact customer service for additional options.
6024,Card Already Active,The Gift Card is already active.
6025,Request Exceeds Balance,Transaction amount exceeds the Gift Card balance amount.
6026,Cannot Load The Amount Specified,Cannot Load The Amount Specified.
6027,Card Not Activated,The Gift Card Is Not Activated.
6028,Card Cannot Be Reloaded,The Gift Card Cannot Be Reloaded.
6029,Declined: Invalid Reg Key,Invalid Reg Key.
6030,Declined: Invalid Packet,Invalid Packet.
6031,Declined: Invalid LRC,Invalid LRC.
6032,Declined: Invalid Response,Invalid Response.
6033,Declined: Invalid LRC in Response,Invalid LRC in Response.
6034,Declined: Invalid Record Number in Response,Invalid Record Number in Response.
6038,System is Temporarily Unavailable,It appears that the system is temporarily unavailable. Please try your transaction again in a few minutes or contact the merchant you are trying to order from for further assistance. We apologize for this inconvenience.
6042,Invalid Request Format,XML request is not well-formed or request is incomplete.
7005,Invalid Token Request,The information supplied in the request is invalid. A token cannot be added unless one has been requested.
